cl-cy  161.13   1.792	
cl-n1  217.59   1.630	
cl-n2  123.81   1.819	
cl-n3  139.52   1.777	
cl-n   167.01   1.716	
cl-n4  149.71   1.753	
cl-na  118.36   1.835	
cl-nh  145.39   1.763	
cl-no  116.71   1.840	
cl-o   331.00   1.483	
cl-oh  169.11   1.690	
cl-os  149.95   1.730	
cl-p2  143.51   2.070	
cl-p3  167.79   2.008	
cl-p4  167.79   2.008	
cl-p5  167.79   2.008	
cl-pb  172.59   1.997	
cl-s   230.41   2.072	
cl-s2  185.62   2.161	
cl-s4  230.41   2.072	
cl-s6  230.41   2.072	
cl-sh  230.41   2.072	
cl-ss  230.41   2.072	
cl-sx  230.41   2.072	
cl-sy  230.41   2.072	
c -n2  306.30   1.420	
c -n4  197.87   1.546	
c -n   356.21   1.379	
c -nc  346.03   1.387	
c -nd  346.03   1.387	
c -ne  340.70   1.391	
c -nf  340.70   1.391	
c -no  201.86   1.540	
c -o   652.57   1.218	
c -oh  383.13   1.351	
c -os  372.94   1.358	
c -p2  150.04   1.900	
c -p3  157.13   1.883	
c -p4  158.42   1.880	
c -p5  157.64   1.882	
cp-cp  277.60   1.485	
cp-cq  309.60   1.454	
c -pe  145.65   1.911	
c -pf  145.65   1.911	
cp-na  349.52   1.384	
cp-nb  414.72   1.339	
c -px  148.42   1.904	
c -py  164.17   1.867	
cq-cq  277.60   1.485	
c -s   298.35   1.672	
c -s4  167.99   1.870	
c -s6  167.99   1.870	
c -sh  206.09   1.797	
c -ss  204.39   1.800	
c -sx  161.23   1.885	
c -sy  170.32   1.865	
cu-cu  564.10   1.294	
cu-cx  277.70   1.485	
cu-ha  405.22   1.081	
cv-cv  480.53   1.335	
cv-cy  250.66   1.515	
cv-ha  393.86   1.087	
cx-cv  256.87   1.508	
cx-cx  260.31   1.504	
cx-cy  250.83   1.515	
cx-f   339.01   1.360	
cx-h1  390.15   1.089	
cx-h2  395.91   1.086	
cx-hc  393.86   1.087	
cx-hx  397.60   1.085	
cx-n2  245.89   1.482	
cx-n3  256.30   1.470	
cx-n   283.33   1.442	
cx-na  264.52   1.461	
cx-nh  270.65   1.455	
cx-oh  369.30   1.361	
cx-os  279.50   1.437	
cx-p3  164.17   1.867	
cx-s4  192.02   1.822	
cx-s6  249.87   1.731	
cx-ss  186.43   1.833	
cy-cy  218.51   1.556	
cy-f   344.83   1.356	
cy-h1  379.11   1.095	
cy-h2  382.87   1.093	
cy-hc  379.47   1.095	
cy-n   256.66   1.470	
cy-n3  248.73   1.479	
cy-oh  305.23   1.412	
cy-os  277.32   1.439	
cy-s6  177.00   1.851	
cy-ss  177.89   1.849	
cz-nh  414.24   1.339	
f -n1  167.33   1.410	
f -n2  148.04   1.444	
f -n3  169.79   1.406	
f -n   175.49   1.397	
f -n4  246.14   1.308	
f -na  166.72   1.411	
f -nh  157.90   1.426	
f -no  136.49   1.467	
f -o   198.07   1.330	
f -oh  129.79   1.444	
f -os  139.94   1.423	
f -p2  522.31   1.536	
f -p3  454.68   1.578	
f -p4  437.32   1.590	
f -p5  442.73   1.586	
f -s2  363.47   1.643	
f -s   344.73   1.660	
f -s4  428.80   1.591	
f -s6  400.85   1.612	
f -sh  356.72   1.649	
f -ss  373.87   1.634	
hn-n1  605.55   0.986	
hn-n2  501.09   1.023	
hn-n3  511.28   1.019	
hn-n   527.31   1.013	
hn-n4  482.87   1.030	
hn-na  535.14   1.010	
hn-nh  529.46   1.012	
hn-no  501.09   1.023	
ho-o   540.28   0.981	
ho-oh  563.51   0.973	
hp-p2  266.54   1.336	
hp-p3  200.57   1.412	
hp-p4  253.60   1.349	
hp-p5  196.39   1.418	
hs-s   288.27   1.353	
hs-s4  265.33   1.375	
hs-s6  281.78   1.359	
hs-sh  294.59   1.347	
i -i    50.27   2.917	
i -n1  105.51   2.060	
i -n2   59.35   2.304	
i -n    96.05   2.098	
i -n3   77.95   2.185	
i -n4   83.69   2.155	
i -na   89.07   2.129	
i -nh   84.69   2.150	
i -no   70.03   2.231	
i -o   106.33   1.980	
i -oh   78.38   2.101	
i -os   73.23   2.129	
i -p2   66.30   2.643	
i -p3   77.18   2.566	
i -p4  120.75   2.352	
i -p5   72.70   2.596	
i -s   115.77   2.430	
i -s4   49.21   2.870	
i -s6   49.21   2.870	
i -sh   88.56   2.560	
i -ss   86.63   2.571	
n1-n1  750.98   1.135	
n1-n2  494.86   1.230	
n1-n3  307.19   1.350	
n1-n4  295.75   1.360	
n1-na  307.19   1.350	
n1-nc  525.73   1.216	
n1-nd  525.73   1.216	
n1-ne  452.52   1.252	
n1-nf  452.52   1.252	
n1-nh  319.16   1.340	
n1-no  254.81   1.400	
n1-o   298.40   1.277	
n1-oh  272.24   1.300	
n1-os  261.73   1.310	
n1-p2  268.95   1.678	
n1-p3  284.28   1.660	
n1-p4  267.31   1.680	
n1-p5  377.36   1.571	
n1-s2  681.10   1.449	
n1-s   339.70   1.659	
n1-s4  349.33   1.650	
n1-s6  766.72   1.416	
n1-sh  396.29   1.610	
n1-ss  396.29   1.610	
n2-n2  425.99   1.267	
n2-n3  332.97   1.329	
n2-n4  100.13   1.679	
n2-na  287.40   1.368	
n2-nc  446.98   1.255	
n2-nd  446.98   1.255	
n2-ne  418.13   1.271	
n2-nf  418.13   1.271	
n2-nh  304.40   1.352	
n2-no  224.76   1.435	
n2-o   381.83   1.217	
n2-oh  192.13   1.391	
n2-os  184.98   1.401	
n2-p2  338.04   1.605	
n2-p3  208.02   1.764	
n2-p4  234.05   1.724	
n2-p5  344.61   1.599	
n2-pe  418.07   1.540	
n2-pf  418.07   1.540	
n2-s2  491.26   1.544	
n2-s4  396.29   1.610	
n2-s   496.36   1.541	
n2-s6  475.70   1.554	
n2-sh  267.45   1.738	
n2-ss  342.87   1.656	
n3-n3  219.29   1.442	
n3-n4  228.50   1.430	
n3-na  236.90   1.420	
n3-nh  240.71   1.416	
n3-no  256.88   1.398	
n3-o   269.04   1.303	
n3-oh  176.15   1.415	
n3-os  160.59   1.441	
n3-p2  275.64   1.670	
n3-p3  229.90   1.730	
n3-p4  253.83   1.697	
n3-p5  275.98   1.670	
n3-py  256.22   1.694	
n3-s   228.53   1.792	
n3-s4  254.85   1.754	
n3-s6  326.04   1.672	
n3-sh  266.66   1.739	
n3-ss  279.14   1.724	
n3-sy  303.10   1.696	
n4-n4  188.86   1.484	
n4-na  224.44   1.435	
n4-nh  201.09   1.466	
n4-no  191.50   1.480	
n4-o   215.08   1.361	
n4-oh  186.01   1.400	
n4-os  172.30   1.421	
n4-p2  126.91   1.942	
n4-p3  149.95   1.880	
n4-p4  128.26   1.938	
n4-p5  172.23   1.830	
n4-py  141.24   1.902	
n4-s   204.02   1.832	
n4-s4  139.73   1.972	
n4-s6  162.90   1.914	
n4-sh  216.47   1.811	
n4-ss  215.86   1.812	
na-na  253.88   1.401	
na-nb  310.48   1.347	
na-nc  300.49   1.356	
na-nd  302.44   1.354	
na-nh  254.81   1.400	
na-no  224.76   1.435	
na-o   347.95   1.239	
na-oh  191.21   1.393	
na-os  158.65   1.444	
na-p2  217.35   1.749	
na-p3  209.23   1.762	
na-p4  386.12   1.564	
na-p5  240.43   1.715	
na-pc  228.54   1.732	
na-pd  228.54   1.732	
na-py  242.60   1.712	
na-s   247.08   1.765	
na-s4  227.88   1.793	
na-s6  279.89   1.723	
na-sh  281.31   1.721	
na-ss  271.85   1.732	
na-sy  276.32   1.727	
nb-nb  327.23   1.333	
nb-pb  358.21   1.587	
nc-nc  290.67   1.365	
nc-nd  374.73   1.299	
nc-os  185.12   1.401	
nc-ss  376.65   1.626	
nc-sy  473.81   1.555	
nd-nd  290.67   1.365	
nd-os  185.12   1.401	
nd-ss  376.65   1.626	
nd-sy  473.81   1.555	
ne-ne  235.02   1.422	
ne-nf  432.27   1.263	
ne-o   360.78   1.231	
ne-p2  387.40   1.563	
ne-pe  242.60   1.712	
ne-px  250.02   1.702	
ne-py  338.14   1.605	
ne-s   503.04   1.537	
ne-sx  200.62   1.838	
ne-sy  326.04   1.672	
nf-nf  235.02   1.422	
nf-o   360.78   1.231	
nf-p2  387.40   1.563	
nf-pf  242.60   1.712	
nf-px  250.02   1.702	
nf-py  338.14   1.605	
nf-s   503.04   1.537	
nf-sx  200.62   1.838	
nf-sy  326.04   1.672	
nh-nh  252.77   1.402	
nh-no  267.93   1.386	
nh-o   316.06   1.263	
nh-oh  175.33   1.416	
nh-os  175.90   1.415	
nh-p2  268.13   1.679	
nh-p3  229.90   1.730	
nh-p4  247.02   1.706	
nh-p5  274.79   1.671	
nh-s   233.85   1.784	
nh-s4  258.92   1.749	
nh-s6  301.91   1.698	
nh-sh  292.49   1.708	
nh-ss  291.53   1.709	
nh-sy  287.18   1.714	
n -n1  319.16   1.340	
n -n2  295.31   1.360	
n -n3  250.92   1.404	
n -n4  226.87   1.432	
n -n   250.83   1.404	
n -na  248.27   1.407	
n -nc  295.87   1.360	
n -nd  295.87   1.360	
n -nh  253.32   1.402	
n -no  208.29   1.456	
n -o   342.80   1.243	
n -oh  181.83   1.406	
no-no   65.41   1.824	
no-o   367.95   1.226	
no-oh  181.96   1.406	
no-os  172.24   1.421	
no-p2  224.52   1.738	
no-p3  165.61   1.844	
no-p4  154.11   1.870	
no-p5  170.31   1.834	
no-s   264.31   1.742	
n -os  180.04   1.409	
no-s4  131.30   1.996	
no-s6  138.28   1.976	
no-sh  220.82   1.804	
no-ss  206.32   1.828	
n -p2  227.87   1.733	
n -p3  204.42   1.770	
n -p4  227.19   1.734	
n -p5  238.92   1.717	
n -pc  223.19   1.740	
n -pd  223.19   1.740	
n -s   245.64   1.767	
n -s4  244.86   1.768	
n -s6  283.34   1.719	
n -sh  275.50   1.728	
n -ss  277.23   1.726	
n -sy  285.29   1.716	
oh-oh  123.13   1.469	
oh-os  129.12   1.456	
oh-p2  329.87   1.630	
oh-p3  285.03   1.677	
oh-p4  318.66   1.641	
oh-p5  346.03   1.615	
oh-py  344.61   1.616	
oh-s   219.79   1.812	
oh-s4  309.00   1.696	
oh-s6  373.26   1.635	
oh-sh  312.59   1.692	
oh-ss  316.41   1.688	
oh-sy  356.03   1.650	
o -o   141.39   1.430	
o -oh  104.37   1.517	
o -os  109.10   1.504	
o -p2  492.04   1.508	
o -p3  480.47   1.515	
o -p4  498.98   1.504	
o -p5  529.55   1.487	
o -pe  470.81   1.521	
o -pf  470.81   1.521	
o -px  499.66   1.504	
o -py  527.91   1.488	
o -s   226.13   1.802	
o -s2  417.99   1.599	
o -s4  572.26   1.504	
o -s6  683.03   1.453	
o -sh  410.02   1.605	
os-os  124.74   1.465	
os-p2  396.10   1.573	
os-p3  287.31   1.674	
os-p4  323.70   1.636	
os-p5  346.25   1.615	
os-py  342.10   1.619	
os-s   227.43   1.800	
o -ss  567.21   1.507	
os-s4  312.40   1.692	
os-s6  387.79   1.623	
os-sh  333.31   1.671	
os-ss  301.43   1.704	
os-sy  306.02   1.699	
o -sx  555.55   1.513	
o -sy  653.16   1.466	
p2-p2  307.63   1.786	
p2-p3  118.00   2.152	
p2-p4  110.68   2.179	
p2-p5  110.42   2.180	
p2-pe  244.92   1.867	
p2-pf  244.92   1.867	
p2-s   375.05   1.772	
p2-s4  126.27   2.190	
p2-s6  129.28   2.180	
p2-sh  217.02   1.971	
p2-ss  219.87   1.966	
p3-p3  101.97   2.214	
p3-p4  101.50   2.216	
p3-p5  102.21   2.213	
p3-s   168.70   2.070	
p3-s4  161.75   2.087	
p3-s6  165.79   2.077	
p3-sh  144.95   2.132	
p3-ss  148.86   2.121	
p4-p4  157.68   2.034	
p4-p5   96.70   2.237	
p4-s   140.16   2.146	
p4-s4  109.64   2.251	
p4-s6  105.24   2.269	
p4-sh  151.04   2.115	
p4-ss  155.14   2.104	
p5-p5  149.95   2.054	
p5-s   239.16   1.934	
p5-s4  181.84   2.040	
p5-s6  181.84   2.040	
p5-sh  163.76   2.082	
p5-ss  150.09   2.118	
pe-pe  136.46   2.092	
pe-pf  149.57   2.055	
pe-px  169.76   2.005	
pe-py  161.32   2.025	
pe-s   390.65   1.758	
pe-sx  133.00   2.168	
pe-sy  119.67   2.213	
