X -c3-s6-X    9    1.300         0.000           3.000   
X -c3-sy-X    9    1.300         0.000           3.000   
X -c3-cc-X    6    0.000         0.000           3.000   
X -c3-cd-X    6    0.000         0.000           3.000   
X -ca-ca-X    4   14.500       180.000           2.000   
X -ca-cp-X    4   14.500       180.000           2.000   
X -ca-cq-X    4   14.500       180.000           2.000   
X -cp-cp-X    4    4.000       180.000           2.000   
X -cq-cq-X    4    4.000       180.000           2.000   
X -ca-n -X    4    1.800       180.000           2.000
X -ca-n2-X    2    0.000       180.000           3.000
X -ca-ne-X    2    0.000       180.000           3.000
X -ca-nf-X    2    0.000       180.000           3.000
X -ca-n4-X    4    7.000         0.000           2.000
X -ca-na-X    4    1.200       180.000           2.000
X -ca-nb-X    2    9.60        180.0             2.000   
X -ca-nc-X    2    9.60        180.0             2.000   
X -ca-nd-X    2    9.60        180.0             2.000   
X -ca-nh-X    4    4.200       180.000           2.000
X -cc-nh-X    4    4.200       180.000           2.000   
X -cd-nh-X    4    4.200       180.000           2.000   
X -ca-no-X    4    2.400       180.000           2.000
X -ca-oh-X    2    1.800       180.000           2.000   
X -ca-os-X    2    1.800       180.000           2.000   
X -ca-p2-X    2    1.200       180.000           2.000
X -ca-pe-X    2    1.200       180.000           2.000   
X -ca-pf-X    2    1.200       180.000           2.000   
X -ca-pc-X    2    9.600       180.000           2.000   
X -ca-pd-X    2    9.600       180.000           2.000   
X -ca-p3-X    4    0.000       180.000           2.000
X -ca-p4-X    4    2.100       180.000           2.000
X -ca-px-X    4    2.100       180.000           2.000   
X -ca-p5-X    6    8.800       180.000           2.000
X -ca-py-X    6    8.800       180.000           2.000   
X -ca-sh-X    2    0.000       180.000           2.000
X -ca-ss-X    2    0.800       180.000           2.000
X -ca-s4-X    4    1.200         0.000           2.000
X -ca-sx-X    4    1.200         0.000           2.000   
X -ca-s6-X    6    7.800       180.000           2.000
X -ca-sy-X    6    7.800       180.000           2.000   
X -n -cc-X    4    6.600       180.000           2.000   
X -n -cd-X    4    6.600       180.000           2.000   
X -n -n -X    4    4.600         0.000           2.000
X -n -n2-X    2    0.800         0.000           2.000
X -n -ne-X    2    0.800         0.000           2.000
X -n -nf-X    2    0.800         0.000           2.000
X -n -n3-X    4    4.300         0.000           2.000
X -n -n4-X    4    3.800         0.000           2.000
X -n -na-X    4    2.800         0.000           2.000
X -n -nc-X    2    9.600       180.000           2.000   
X -n -nd-X    2    9.600       180.000           2.000   
X -n -nh-X    4    4.400         0.000           2.000
X -n -no-X    4    5.500       180.000           2.000
X -n -oh-X    2    3.000         0.000           2.000
X -n -os-X    2    2.200         0.000           2.000
X -n -p2-X    2    2.000       180.000           2.000
X -n -pe-X    2    2.000       180.000           2.000
X -n -pf-X    2    2.000       180.000           2.000   
X -n -pc-X    2    9.600       180.000           2.000   
X -n -pd-X    2    9.600       180.000           2.000
X -n -p3-X    4    9.000         0.000           2.000
X -n -p4-X    4    1.300         0.000           2.000
X -n -px-X    4    1.300         0.000           2.000
X -n -p5-X    6   13.200       180.000           2.000
X -n -py-X    6   13.200       180.000           2.000
X -n -sh-X    2    2.200         0.000           2.000
X -n -ss-X    2    3.000         0.000           2.000
X -n -s4-X    4    6.000         0.000           3.000
X -n -sx-X    4    6.000         0.000           3.000
X -n -s6-X    6    6.600       180.000           2.000
X -n -sy-X    6    6.600       180.000           2.000
X -n1-c2-X    2    0.000       180.000           2.000   
X -n1-c3-X    3    0.000       180.000           2.000   
X -n1-ca-X    2    0.000       180.000           2.000   
X -n1-cc-X    2    0.000       180.000           2.000   
X -n1-cd-X    2    0.000       180.000           2.000   
X -n1-ce-X    2    0.000       180.000           2.000   
X -n1-cf-X    2    0.000       180.000           2.000   
X -n1-cu-X    2    0.000       180.000           2.000   
X -n1-cv-X    2    0.000       180.000           2.000   
X -n1-cx-X    3    0.000       180.000           2.000   
X -n1-cy-X    3    0.000       180.000           2.000   
X -n1-n -X    2    0.000       180.000           2.000   
X -n1-n1-X    1    0.000       180.000           2.000   
X -n1-n2-X    1    0.000       180.000           2.000   
X -n1-n3-X    2    0.000       180.000           2.000   
X -n1-n4-X    3    0.000       180.000           2.000   
X -n1-na-X    2    0.000       180.000           2.000   
X -n1-nb-X    2    0.000       180.000           2.000   
X -n1-nc-X    2    0.000       180.000           2.000   
X -n1-nd-X    2    0.000       180.000           2.000   
X -n1-ne-X    2    0.000       180.000           2.000   
X -n1-nf-X    2    0.000       180.000           2.000   
X -n1-nh-X    2    0.000       180.000           2.000   
X -n1-no-X    2    0.000       180.000           2.000   
X -n1-oh-X    1    0.000       180.000           2.000   
X -n1-os-X    1    0.000       180.000           2.000   
X -n1-p2-X    1    0.000       180.000           2.000   
X -n1-pb-X    1    0.000       180.000           2.000   
X -n1-pc-X    1    0.000       180.000           2.000   
X -n1-pd-X    1    0.000       180.000           2.000   
X -n1-pe-X    1    0.000       180.000           2.000   
X -n1-pf-X    1    0.000       180.000           2.000   
X -n1-p3-X    2    0.000       180.000           2.000   
X -n1-p4-X    2    0.000       180.000           2.000   
X -n1-px-X    2    0.000       180.000           2.000   
X -n1-p5-X    3    0.000       180.000           2.000   
X -n1-py-X    3    0.000       180.000           2.000   
X -n1-s2-X    1    0.000       180.000           2.000   
X -n1-sh-X    1    0.000       180.000           2.000   
X -n1-ss-X    1    0.000       180.000           2.000   
X -n1-s4-X    2    0.000       180.000           2.000   
X -n1-sx-X    2    0.000       180.000           2.000   
X -n1-s6-X    3    0.000       180.000           2.000   
X -n1-sy-X    3    0.000       180.000           2.000   
X -n2-n2-X    1    3.000       180.000          -2.000   
X -n2-n2-X    1    2.800         0.000           1.000   
X -n2-ne-X    1    3.000       180.000          -2.000   
X -n2-ne-X    1    2.800         0.000           1.000   
X -n2-nf-X    1    3.000       180.000          -2.000   
X -n2-nf-X    1    2.800         0.000           1.000   
X -ne-nf-X    1    3.000       180.000          -2.000   
X -ne-nf-X    1    2.800         0.000           1.000   
X -ne-ne-X    1    1.200       180.000           2.000   
X -nf-nf-X    1    1.200       180.000           2.000   
X -nc-nc-X    1    4.000       180.000           2.000   
X -nd-nd-X    1    4.000       180.000           2.000   
X -nc-nd-X    1    4.000       180.000           2.000   
X -n2-nc-X    1    3.000       180.000          -2.000   
X -n2-nc-X    1    2.800         0.000           1.000   
X -n2-nd-X    1    3.000       180.000          -2.000   
X -n2-nd-X    1    2.800         0.000           1.000   
X -n2-n3-X    2   12.200       180.000           2.000
X -ne-n3-X    2   12.200       180.000           2.000
X -nf-n3-X    2   12.200       180.000           2.000
X -n2-n4-X    3   24.000       180.000           2.000
X -ne-n4-X    3   24.000       180.000           2.000
X -nf-n4-X    3   24.000       180.000           2.000
X -n2-na-X    2    3.400       180.000           2.000
X -ne-na-X    2    3.400       180.000           2.000
X -nf-na-X    2    3.400       180.000           2.000
X -na-nc-X    2    9.600       180.000           2.000   
X -na-nd-X    2    9.600       180.000           2.000   
X -n2-nh-X    2    5.600       180.000           2.000
X -ne-nh-X    2    5.600       180.000           2.000
X -nf-nh-X    2    5.600       180.000           2.000
X -n2-no-X    2    1.500       180.000           2.000
X -ne-no-X    2    1.500       180.000           2.000
X -nf-no-X    2    1.500       180.000           2.000
X -n2-oh-X    1    3.200       180.000           2.000
X -ne-oh-X    1    3.200       180.000           2.000
X -nf-oh-X    1    3.200       180.000           2.000
X -n2-os-X    1    3.000       180.000           2.000
X -ne-os-X    1    3.000       180.000           2.000
X -nf-os-X    1    3.000       180.000           2.000
X -nc-os-X    1    4.800       180.000           2.000   
X -nc-ss-X    1    4.800       180.000           2.000   
X -n2-p2-X    1    5.400       180.000           2.000   
X -n2-pe-X    1    5.400       180.000           2.000   
X -n2-pf-X    1    5.400       180.000           2.000   
X -ne-pf-X    1    5.400       180.000           2.000   
X -n2-pc-X    1    5.400       180.000           2.000   
X -n2-pd-X    1    5.400       180.000           2.000   
X -nc-p2-X    1    5.400       180.000           2.000   
X -nd-p2-X    1    5.400       180.000           2.000   
X -nc-pc-X    1    6.600       180.000           2.000   
X -nd-pd-X    1    6.600       180.000           2.000   
X -nd-pc-X    1    6.600       180.000           2.000   
X -nc-pd-X    1    6.600       180.000           2.000   
X -ne-pe-X    1    0.600         0.000           1.000   
X -nf-pf-X    1    0.600         0.000           1.000   
X -n2-p3-X    2    4.200       180.000           2.000
X -n2-p4-X    2   13.300       180.000           2.000   
X -ne-p4-X    2   13.300       180.000           2.000   
X -nf-p4-X    2   13.300       180.000           2.000   
X -n2-p5-X    3   20.000       180.000           2.000   
X -ne-p5-X    3    3.000       180.000           3.000
X -nf-p5-X    3    3.000       180.000           3.000
X -ne-px-X    3    3.000       180.000           3.000
X -nf-px-X    3    3.000       180.000           3.000
X -n2-sh-X    1    2.100       180.000           2.000
X -ne-sh-X    1    2.100       180.000           2.000
X -nf-sh-X    1    2.100       180.000           2.000
X -n2-ss-X    1    2.800       180.000          -2.000
X -n2-ss-X    1    1.300       180.000           1.000
X -ne-ss-X    1    2.800       180.000          -2.000
X -ne-ss-X    1    1.300       180.000           1.000
X -nf-ss-X    1    2.800       180.000          -2.000
X -nf-ss-X    1    1.300       180.000           1.000
X -n2-s4-X    2   13.300       180.000           2.000   
X -ne-sx-X    2    3.000       180.000           3.000
X -nf-sx-X    2    3.000       180.000           3.000
X -n2-s6-X    3   20.000       180.000           2.000   
X -ne-sy-X    3    1.500       180.000          -3.000
X -ne-sy-X    3   20.400       180.000           1.000
X -nf-sy-X    3    1.500       180.000          -3.000
X -nf-sy-X    3   20.400       180.000           1.000
X -n3-n3-X    4    9.000         0.000           2.000
X -n3-n4-X    6    1.500         0.000           3.000
X -n3-na-X    4    6.400         0.000           2.000
X -n3-nh-X    4    7.600         0.000           2.000
X -n3-no-X    4   16.000       180.000           2.000
X -n3-oh-X    1    2.200         0.000           2.000
X -n3-os-X    1    1.800         0.000           2.000
X -n3-p2-X    2    6.400       180.000           2.000
X -n3-pe-X    2    6.400       180.000           2.000
X -n3-pf-X    2    6.400       180.000           2.000
X -n3-p3-X    4    9.400         0.000           2.000
X -n3-p4-X    4    8.400       180.000           2.000
X -n3-px-X    4    8.400       180.000           2.000
X -n3-p5-X    6   18.000       180.000           2.000
X -n3-py-X    6   18.000       180.000           2.000
X -n3-sh-X    1    3.100         0.000           2.000
X -n3-ss-X    1    2.600         0.000           2.000
X -n3-s4-X    4   15.000         0.000           2.000
X -n3-sx-X    4   15.000         0.000           2.000
X -n3-s6-X    6   18.800         0.000           2.000
X -n3-sy-X    6   18.800         0.000           2.000
X -n4-n4-X    9    1.700         0.000           3.000
X -n4-na-X    6    1.400         0.000           3.000
X -n4-nh-X    6    1.100         0.000           3.000
X -n4-no-X    6    0.500       180.000           3.000
X -n4-oh-X    3    1.000         0.000           3.000
X -n4-os-X    3    1.700         0.000           3.000
X -n4-p2-X    3    0.500       180.000           3.000
X -n4-pe-X    3    0.500       180.000           3.000
X -n4-pf-X    3    0.500       180.000           3.000
X -n4-p3-X    6    0.900         0.000           3.000
X -n4-p4-X    4    0.200         0.000           3.000
X -n4-px-X    4    0.200         0.000           3.000
X -n4-p5-X    9    0.800         0.000           3.000
X -n4-py-X    9    0.800         0.000           3.000
X -n4-sh-X    3    2.000         0.000           3.000
X -n4-ss-X    3    1.000         0.000           3.000
X -n4-s4-X    6    1.700         0.000           3.000
X -n4-sx-X    6    1.700         0.000           3.000
X -n4-s6-X    9    1.200         0.000           3.000
X -n4-sy-X    9    1.200         0.000           3.000
X -na-na-X    4    3.600         0.000           2.000
X -na-nh-X    4    4.800         0.000           2.000
X -na-no-X    4   24.000       180.000           2.000
X -na-oh-X    2    2.000         0.000           2.000
X -na-os-X    2    1.300         0.000           2.000
X -na-p2-X    1    1.000       180.000           2.000
X -na-pe-X    1    1.000       180.000           2.000
X -na-pf-X    1    1.000       180.000           2.000
X -na-p3-X    4    5.800         0.000           2.000
X -na-p4-X    4    4.400         0.000           3.000
X -na-px-X    4    4.400         0.000           3.000
X -na-p5-X    6    5.000       180.000           2.000
X -na-py-X    6    5.000       180.000           2.000
X -na-sh-X    2    3.600         0.000           2.000
X -na-ss-X    2   15.600         0.000           2.000
X -na-s4-X    4    4.200         0.000           2.000
X -na-sx-X    4    4.200         0.000           2.000
X -na-s6-X    6   22.000       180.000           2.000
X -na-sy-X    6   22.000       180.000           2.000
X -nh-nh-X    4    7.200       180.000           3.000
X -nh-no-X    4   10.200       180.000           2.000
X -nh-oh-X    2    3.000         0.000           2.000
X -nh-os-X    2    3.000         0.000           1.000
X -nh-p2-X    2    2.800       180.000           2.000
X -nh-pe-X    2    2.800       180.000           2.000
X -nh-pf-X    2    2.800       180.000           2.000
X -nh-p3-X    4    9.400         0.000           2.000
X -nh-p4-X    4    4.700         0.000           3.000
X -nh-px-X    4    4.700         0.000           3.000
X -nh-p5-X    6    4.800         0.000           2.000
X -nh-py-X    6    4.800         0.000           2.000
X -nh-sh-X    2    3.200         0.000           2.000
X -nh-ss-X    2    4.200         0.000           2.000
X -nh-s4-X    4    3.000         0.000          -2.000
X -nh-s4-X    4    0.400       180.000           3.000
X -nh-sx-X    4    3.000         0.000          -2.000
X -nh-sx-X    4    0.400       180.000           3.000
X -nh-s6-X    6    0.600       180.000           2.000
X -nh-sy-X    6    0.600       180.000           2.000
X -no-no-X    4    1.600       180.000          -4.000
X -no-no-X    4    7.200       180.000           2.000
X -no-oh-X    2    7.800       180.000           2.000
X -no-os-X    2    6.000       180.000           2.000
X -no-p2-X    1    0.300       180.000           2.000
X -no-pe-X    1    0.300       180.000           2.000
X -no-pf-X    1    0.300       180.000           2.000
X -no-p3-X    4    7.600       180.000           2.000
X -no-p4-X    4    2.300       180.000           2.000
